date,base,pair,rate,daily_change_pct
2004-01-01,EUR,EUR/TND,0.654836,
2004-01-02,EUR,EUR/TND,0.654836,0.0
2004-01-03,EUR,EUR/TND,0.654836,0.0
2004-01-04,EUR,EUR/TND,0.654836,0.0
2004-01-05,EUR,EUR/TND,0.654836,0.0
2004-01-06,EUR,EUR/TND,0.654836,0.0
2004-01-07,EUR,EUR/TND,0.654836,0.0
2004-01-08,EUR,EUR/TND,0.654836,0.0
2004-01-09,EUR,EUR/TND,0.654836,0.0
2004-01-10,EUR,EUR/TND,0.654836,0.0
2004-01-11,EUR,EUR/TND,0.654836,0.0
2004-01-12,EUR,EUR/TND,0.654836,0.0
2004-01-13,EUR,EUR/TND,0.654836,0.0
2004-01-14,EUR,EUR/TND,0.654836,0.0
2004-01-15,EUR,EUR/TND,0.654836,0.0
2004-01-16,EUR,EUR/TND,0.654836,0.0
2004-01-17,EUR,EUR/TND,0.654836,0.0
2004-01-18,EUR,EUR/TND,0.654836,0.0
2004-01-19,EUR,EUR/TND,0.654836,0.0
2004-01-20,EUR,EUR/TND,0.654836,0.0
2004-01-21,EUR,EUR/TND,0.654836,0.0
2004-01-22,EUR,EUR/TND,0.654836,0.0
2004-01-23,EUR,EUR/TND,0.654836,0.0
2004-01-24,EUR,EUR/TND,0.654836,0.0
2004-01-25,EUR,EUR/TND,0.654836,0.0
2004-01-26,EUR,EUR/TND,0.654836,0.0
2004-01-27,EUR,EUR/TND,0.654836,0.0
2004-01-28,EUR,EUR/TND,0.654836,0.0
2004-01-29,EUR,EUR/TND,0.654836,0.0
2004-01-30,EUR,EUR/TND,0.654836,0.0
2004-01-31,EUR,EUR/TND,0.654836,0.0
2004-02-01,EUR,EUR/TND,0.654836,0.0
2004-02-02,EUR,EUR/TND,0.654836,0.0
2004-02-03,EUR,EUR/TND,0.654836,0.0
2004-02-04,EUR,EUR/TND,0.654836,0.0
2004-02-05,EUR,EUR/TND,0.654836,0.0
2004-02-06,EUR,EUR/TND,0.654836,0.0
2004-02-07,EUR,EUR/TND,0.654836,0.0
2004-02-08,EUR,EUR/TND,0.654836,0.0
2004-02-09,EUR,EUR/TND,0.654836,0.0
2004-02-10,EUR,EUR/TND,0.654836,0.0
2004-02-11,EUR,EUR/TND,0.654836,0.0
2004-02-12,EUR,EUR/TND,0.654836,0.0
2004-02-13,EUR,EUR/TND,0.654836,0.0
2004-02-14,EUR,EUR/TND,0.654836,0.0
2004-02-15,EUR,EUR/TND,0.654836,0.0
2004-02-16,EUR,EUR/TND,0.654836,0.0
2004-02-17,EUR,EUR/TND,0.654836,0.0
2004-02-18,EUR,EUR/TND,0.654836,0.0
2004-02-19,EUR,EUR/TND,0.654836,0.0
2004-02-20,EUR,EUR/TND,0.654836,0.0
2004-02-21,EUR,EUR/TND,0.654836,0.0
2004-02-22,EUR,EUR/TND,0.654836,0.0
2004-02-23,EUR,EUR/TND,0.654836,0.0
2004-02-24,EUR,EUR/TND,0.654836,0.0
2004-02-25,EUR,EUR/TND,0.654836,0.0
2004-02-26,EUR,EUR/TND,0.654836,0.0
2004-02-27,EUR,EUR/TND,0.654836,0.0
2004-02-28,EUR,EUR/TND,0.654836,0.0
2004-02-29,EUR,EUR/TND,0.654836,0.0
2004-03-01,EUR,EUR/TND,0.654836,0.0
2004-03-02,EUR,EUR/TND,0.654836,0.0
2004-03-03,EUR,EUR/TND,0.654836,0.0
2004-03-04,EUR,EUR/TND,0.654836,0.0
2004-03-05,EUR,EUR/TND,0.654836,0.0
2004-03-06,EUR,EUR/TND,0.654836,0.0
2004-03-07,EUR,EUR/TND,0.654836,0.0
